fault,victim,t0_s,cli_ms,heal_after_ms,partition,role,leader_moved_ms,new_leader,first_ack_ms,max_gap_ms
kill,2,1.809,295,3951,0,follower,,-1,22,38
kill,2,1.809,295,3951,1,leader,3153,0,3671,3941
isolate,0,11.516,70,4862,0,follower,,-1,902,965
isolate,0,11.516,70,4862,1,leader,955,2,2934,2997
pause,2,21.367,37,4829,0,follower,,-1,934,958
pause,2,21.367,37,4829,1,leader,2059,0,1943,1967
kill,0,28.864,297,4075,0,follower,,-1,790,1073
kill,0,28.864,297,4075,1,leader,1183,2,1803,2086
isolate,0,37.822,93,3218,0,follower,,-1,949,1046
isolate,0,37.822,93,3218,1,follower,,-1,1227,1324
isolate,2,48.220,85,5241,0,follower,,-1,961,1043
isolate,2,48.220,85,5241,1,leader,1359,0,1991,2074
kill,2,64.819,291,3862,0,follower,,-1,779,1070
kill,2,64.819,291,3862,1,follower,,-1,805,1086
pause,2,74.216,23,3801,0,follower,,-1,1003,1035
pause,2,74.216,23,3801,1,follower,,-1,1439,1471
isolate,0,80.634,92,4561,0,follower,,-1,1539,1627
isolate,0,80.634,92,4561,1,leader,,-1,6893,6981
kill,1,91.807,335,4623,0,leader,2970,2,3510,3815
kill,1,91.807,335,4623,1,follower,,-1,3502,2767
kill,0,101.151,286,3575,0,follower,,-1,2721,2996
kill,0,101.151,286,3575,1,leader,3202,2,3285,3560
kill,1,111.129,242,4753,0,follower,,-1,837,1077
kill,1,111.129,242,4753,1,follower,,-1,838,1076
