fault,victim,t0_s,cli_ms,heal_after_ms,partition,role,leader_moved_ms,new_leader,first_ack_ms,max_gap_ms
isolate,0,1.541,86,3729,0,leader,1025,1,6514,6573
isolate,0,1.541,86,3729,1,follower,,-1,6496,1679
pause,1,11.072,36,3072,0,leader,2061,0,3207,3235
pause,1,11.072,36,3072,1,leader,2061,0,3207,3235
kill,0,16.327,296,4500,0,leader,866,1,6946,7234
kill,0,16.327,296,4500,1,leader,866,1,6946,7234
kill,1,26.343,301,5212,0,leader,799,0,6955,7233
kill,1,26.343,301,5212,1,leader,799,0,6955,7233
pause,1,35.254,55,5648,0,follower,,-1,1664,1696
pause,1,35.254,55,5648,1,follower,,-1,1665,1698
pause,0,44.256,53,5691,0,leader,2054,1,,20765
pause,0,44.256,53,5691,1,leader,2054,1,20678,5857
isolate,2,67.302,99,3604,0,follower,,-1,1565,1644
isolate,2,67.302,99,3604,1,follower,,-1,1566,1657
kill,2,75.870,307,5889,0,follower,,-1,1397,1702
kill,2,75.870,307,5889,1,follower,,-1,1398,1704
isolate,2,85.487,93,3079,0,follower,,-1,1673,1765
isolate,2,85.487,93,3079,1,follower,,-1,1676,1768
kill,1,91.473,301,4556,0,leader,864,0,6951,7214
kill,1,91.473,301,4556,1,leader,864,0,6951,7214
isolate,0,99.912,105,5439,0,leader,1997,1,6639,6717
isolate,0,99.912,105,5439,1,leader,1997,1,6639,6717
pause,1,109.078,56,4915,0,leader,1526,0,,19990
pause,1,109.078,56,4915,1,leader,1526,0,19901,5080
