fault,victim,t0_s,cli_ms,heal_after_ms,partition,role,leader_moved_ms,new_leader,first_ack_ms,max_gap_ms
isolate,1,1.967,98,4590,0,follower,,-1,4865,4955
isolate,1,1.967,98,4590,1,leader,4877,2,5097,5189
kill,2,18.052,408,3045,0,follower,,-1,3481,3877
kill,2,18.052,408,3045,1,leader,4747,1,5022,5418
pause,1,26.747,19,4737,0,follower,,-1,4279,4315
pause,1,26.747,19,4737,1,leader,4761,2,4372,4380
isolate,1,34.038,84,4816,0,follower,,-1,991,1074
isolate,1,34.038,84,4816,1,follower,,-1,991,1053
kill,2,43.576,312,3014,0,follower,,-1,3042,3339
kill,2,43.576,312,3014,1,leader,3062,1,3049,3344
isolate,0,52.375,88,4485,0,leader,1280,1,1901,2007
isolate,0,52.375,88,4485,1,follower,,-1,1883,946
isolate,1,65.264,83,3709,0,leader,3199,0,4500,4591
isolate,1,65.264,83,3709,1,leader,3199,0,4508,4601
kill,2,79.463,249,4036,0,follower,,-1,929,1180
kill,2,79.463,249,4036,1,follower,,-1,927,1180
isolate,2,87.832,91,3975,0,follower,,-1,899,993
isolate,2,87.832,91,3975,1,follower,,-1,898,993
pause,0,97.829,38,4688,0,leader,4152,2,5064,5091
pause,0,97.829,38,4688,1,leader,4152,2,5066,5060
isolate,0,106.773,77,3955,0,follower,,-1,900,996
isolate,0,106.773,77,3955,1,follower,,-1,903,997
isolate,1,116.179,93,5238,0,follower,,-1,863,940
isolate,1,116.179,93,5238,1,follower,,-1,864,938
