fault,victim,t0_s,cli_ms,heal_after_ms,partition,role,leader_moved_ms,new_leader,first_ack_ms,max_gap_ms
kill,2,1.938,421,3951,0,follower,,-1,30,41
kill,2,1.938,421,3951,1,follower,,-1,30,41
isolate,0,9.188,108,4862,0,leader,6613,2,6884,6973
isolate,0,9.188,108,4862,1,follower,,-1,6855,50
pause,2,38.194,49,4829,0,leader,4683,0,3990,4036
pause,2,38.194,49,4829,1,follower,,-1,3964,41
kill,0,45.349,436,4075,0,leader,3454,2,3860,4290
kill,0,45.349,436,4075,1,follower,,-1,3831,41
isolate,0,62.383,107,3218,0,follower,,-1,7,48
isolate,0,62.383,107,3218,1,follower,,-1,7,47
isolate,2,70.281,100,5241,0,leader,6059,0,6231,6327
isolate,2,70.281,100,5241,1,follower,,-1,6205,40
kill,2,91.324,425,3862,0,follower,,-1,27,44
kill,2,91.324,425,3862,1,follower,,-1,27,43
pause,2,98.234,43,3801,0,follower,,-1,29,42
pause,2,98.234,43,3801,1,follower,,-1,30,42
isolate,0,103.612,95,4561,0,leader,,-1,8726,8809
isolate,0,103.612,95,4561,1,follower,,-1,8698,43
