fault,victim,t0_s,cli_ms,heal_after_ms,partition,role,leader_moved_ms,new_leader,first_ack_ms,max_gap_ms
isolate,1,1.977,110,4590,0,follower,,-1,1600,1688
isolate,1,1.977,110,4590,1,leader,1086,2,6656,6743
kill,2,10.952,341,3045,0,follower,,-1,1336,1659
kill,2,10.952,341,3045,1,leader,903,0,6912,7235
pause,1,20.542,43,4737,0,follower,,-1,1668,1681
pause,1,20.542,43,4737,1,follower,,-1,1665,1679
isolate,1,27.853,99,4816,0,follower,,-1,1574,1655
isolate,1,27.853,99,4816,1,follower,,-1,1572,1653
kill,2,37.303,280,3014,0,follower,,-1,1432,1680
kill,2,37.303,280,3014,1,follower,,-1,1428,1676
isolate,0,43.435,104,4485,0,leader,1242,1,6607,6697
isolate,0,43.435,104,4485,1,leader,1242,1,6607,6698
isolate,1,51.799,100,3709,0,leader,969,0,6496,6575
isolate,1,51.799,100,3709,1,leader,969,0,6496,6575
kill,2,60.431,292,4036,0,follower,,-1,1519,1777
kill,2,60.431,292,4036,1,follower,,-1,1517,1775
isolate,2,66.732,93,3975,0,follower,,-1,1532,1619
isolate,2,66.732,93,3975,1,follower,,-1,1528,1615
pause,0,77.237,54,4688,0,leader,1532,1,4838,4872
pause,0,77.237,54,4688,1,leader,1532,1,,19780
isolate,0,100.375,96,3955,0,follower,,-1,1651,1744
isolate,0,100.375,96,3955,1,follower,,-1,1653,1747
isolate,1,109.786,98,5238,0,leader,948,0,6495,6574
isolate,1,109.786,98,5238,1,leader,948,0,6495,6574
isolate,2,118.921,106,5772,0,follower,,-1,1558,1656
isolate,2,118.921,106,5772,1,follower,,-1,1554,1652
